attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0008,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0008,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0022,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0022,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0025,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0025,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0034,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0034,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0035,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0035,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0041,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0041,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0042,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0042,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0059,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0059,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0060,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0060,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0061,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0061,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COLP0061,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0064,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0064,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0072,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0072,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0078,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0078,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0080,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0080,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0085,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0085,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0089,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0089,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1COLP0089,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0090,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1COLP0090,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1COLP0091,0
",,7,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00052441,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00052441,0
",,7,0900",SNWD,2018-01-01T00:00:00,GHCND:USC00052441,0
",,7,0900",TMAX,2018-01-01T00:00:00,GHCND:USC00052441,100
",,7,0900",TMIN,2018-01-01T00:00:00,GHCND:USC00052441,-150
",,7,0900",TOBS,2018-01-01T00:00:00,GHCND:USC00052441,-50
",,7,1700",PRCP,2018-01-01T00:00:00,GHCND:USC00053016,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00053016,0
",,7,1700",SNWD,2018-01-01T00:00:00,GHCND:USC00053016,0
",,7,1700",TMAX,2018-01-01T00:00:00,GHCND:USC00053016,89
",,7,1700",TMIN,2018-01-01T00:00:00,GHCND:USC00053016,-106
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00054934,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00054934,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00054934,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00054934,94
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00054934,-67
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00054934,-67
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000CLOG,25
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000CLOG,78
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000CLOG,-11
",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0008M10S,0
",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0008M10S,279
",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0008M10S,-8
",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0008M10S,21
",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0008M10S,-23
",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0008M10S,-22
",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0008M10S,610
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00093005,25
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00093005,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00093005,100
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00093005,-127
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093005,250
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00093005,250
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093005,67
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00093005,89
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0008,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0008,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0020,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0020,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1COLP0020,0
",,N,",WESF,2018-01-02T00:00:00,GHCND:US1COLP0020,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0022,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0022,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0025,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0025,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0034,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0034,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0035,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0035,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0041,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0041,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0042,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0042,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0059,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0059,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0060,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0060,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0061,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0061,0
"T,,N,",SNWD,2018-01-02T00:00:00,GHCND:US1COLP0061,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0064,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0064,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0072,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0072,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0078,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0078,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0080,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0080,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0085,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0085,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0089,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0089,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1COLP0089,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0090,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0090,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0091,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0091,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1COLP0093,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1COLP0093,0
",,7,0900",PRCP,2018-01-02T00:00:00,GHCND:USC00052441,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00052441,0
",,7,0900",SNWD,2018-01-02T00:00:00,GHCND:USC00052441,0
",,7,0900",TMAX,2018-01-02T00:00:00,GHCND:USC00052441,94
",,7,0900",TMIN,2018-01-02T00:00:00,GHCND:USC00052441,-111
",,7,0900",TOBS,2018-01-02T00:00:00,GHCND:USC00052441,-6
",,7,1700",PRCP,2018-01-02T00:00:00,GHCND:USC00053016,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00053016,0
",,7,1700",SNWD,2018-01-02T00:00:00,GHCND:USC00053016,0
",,7,1700",TMAX,2018-01-02T00:00:00,GHCND:USC00053016,83
",,7,1700",TMIN,2018-01-02T00:00:00,GHCND:USC00053016,-94
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00054934,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00054934,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00054934,0
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00054934,94
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00054934,-72
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00054934,-72
",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000CLOG,18
"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000CLOG,83
"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000CLOG,-28
",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0008M10S,0
",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0008M10S,279
",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0008M10S,-18
",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0008M10S,31
",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0008M10S,-44
",,T,",TOBS,2018-01-02T00:00:00,GHCND:USS0008M10S,-39
",,T,",WESD,2018-01-02T00:00:00,GHCND:USS0008M10S,610
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00093005,20
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00093005,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00093005,89
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00093005,-121
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00093005,10
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00093005,10
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00093005,63
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00093005,67
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0008,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0008,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0020,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0020,0
",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1COLP0020,0
",,N,",WESF,2018-01-03T00:00:00,GHCND:US1COLP0020,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0022,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0022,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0025,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0025,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0034,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0034,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0035,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0035,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0041,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0041,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0042,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0042,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0059,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0059,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0060,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0060,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0061,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0061,0
"T,,N,",SNWD,2018-01-03T00:00:00,GHCND:US1COLP0061,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0064,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0064,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0072,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0072,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0078,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0078,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0080,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0080,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0085,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0085,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0089,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0089,0
",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1COLP0089,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0090,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0090,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1COLP0093,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1COLP0093,0
",,7,1700",PRCP,2018-01-03T00:00:00,GHCND:USC00053016,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00053016,0
",,7,1700",SNWD,2018-01-03T00:00:00,GHCND:USC00053016,0
",,7,1700",TMAX,2018-01-03T00:00:00,GHCND:USC00053016,83
",,7,1700",TMIN,2018-01-03T00:00:00,GHCND:USC00053016,-89
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00054934,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00054934,0
",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00054934,0
",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00054934,83
",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00054934,-83
",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00054934,-67
",,U,",TAVG,2018-01-03T00:00:00,GHCND:USR0000CLOG,19
"H,,U,",TMAX,2018-01-03T00:00:00,GHCND:USR0000CLOG,89
"H,,U,",TMIN,2018-01-03T00:00:00,GHCND:USR0000CLOG,-17
",,T,",PRCP,2018-01-03T00:00:00,GHCND:USS0008M10S,0
",,T,",SNWD,2018-01-03T00:00:00,GHCND:USS0008M10S,279
",,T,",TAVG,2018-01-03T00:00:00,GHCND:USS0008M10S,-21
",,T,",TMAX,2018-01-03T00:00:00,GHCND:USS0008M10S,45
",,T,",TMIN,2018-01-03T00:00:00,GHCND:USS0008M10S,-48
",,T,",TOBS,2018-01-03T00:00:00,GHCND:USS0008M10S,-47
",,T,",WESD,2018-01-03T00:00:00,GHCND:USS0008M10S,610
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00093005,17
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00093005,0
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00093005,94
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00093005,-132
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00093005,10
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00093005,250
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00093005,54
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00093005,58
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0008,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0008,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0020,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0020,0
",,N,",SNWD,2018-01-04T00:00:00,GHCND:US1COLP0020,0
",,N,",WESF,2018-01-04T00:00:00,GHCND:US1COLP0020,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0022,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0022,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0025,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0025,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0034,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0034,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0035,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0035,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0041,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0041,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0042,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0042,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0059,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0059,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0060,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0060,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0061,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0061,0
"T,,N,",SNWD,2018-01-04T00:00:00,GHCND:US1COLP0061,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0064,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0064,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0072,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0072,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0078,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0078,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0080,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0080,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0085,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0085,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0090,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0090,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0091,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0091,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1COLP0093,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1COLP0093,0
",,7,1700",PRCP,2018-01-04T00:00:00,GHCND:USC00053016,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00053016,0
",,7,1700",SNWD,2018-01-04T00:00:00,GHCND:USC00053016,0
",,7,1700",TMAX,2018-01-04T00:00:00,GHCND:USC00053016,78
",,7,1700",TMIN,2018-01-04T00:00:00,GHCND:USC00053016,-100
",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00054934,0
",,7,",SNOW,2018-01-04T00:00:00,GHCND:USC00054934,0
",,7,0800",SNWD,2018-01-04T00:00:00,GHCND:USC00054934,0
",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00054934,89
",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00054934,-72
",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00054934,-61
",,U,",TAVG,2018-01-04T00:00:00,GHCND:USR0000CLOG,18
"H,,U,",TMAX,2018-01-04T00:00:00,GHCND:USR0000CLOG,83
"H,,U,",TMIN,2018-01-04T00:00:00,GHCND:USR0000CLOG,-17
",,T,",PRCP,2018-01-04T00:00:00,GHCND:USS0008M10S,0
",,T,",SNWD,2018-01-04T00:00:00,GHCND:USS0008M10S,279
",,T,",TAVG,2018-01-04T00:00:00,GHCND:USS0008M10S,-2
",,T,",TMAX,2018-01-04T00:00:00,GHCND:USS0008M10S,42
",,T,",TMIN,2018-01-04T00:00:00,GHCND:USS0008M10S,-51
",,T,",TOBS,2018-01-04T00:00:00,GHCND:USS0008M10S,15
",,T,",WESD,2018-01-04T00:00:00,GHCND:USS0008M10S,610
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00093005,18
",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00093005,0
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00093005,89
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00093005,-110
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00093005,230
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00093005,250
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00093005,45
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00093005,58
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0008,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0008,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0020,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0020,0
",,N,",SNWD,2018-01-05T00:00:00,GHCND:US1COLP0020,0
",,N,",WESF,2018-01-05T00:00:00,GHCND:US1COLP0020,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0022,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0022,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0025,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0025,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0034,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0034,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0035,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0035,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0041,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0041,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0042,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0042,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0059,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0059,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0060,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0060,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0061,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0061,0
"T,,N,",SNWD,2018-01-05T00:00:00,GHCND:US1COLP0061,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0064,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0064,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0072,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0072,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0078,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0078,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0080,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0080,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0085,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0085,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0089,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0089,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0090,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1COLP0090,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0091,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1COLP0093,0
",,7,1700",PRCP,2018-01-05T00:00:00,GHCND:USC00053016,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00053016,0
",,7,1700",SNWD,2018-01-05T00:00:00,GHCND:USC00053016,0
",,7,1700",TMAX,2018-01-05T00:00:00,GHCND:USC00053016,56
",,7,1700",TMIN,2018-01-05T00:00:00,GHCND:USC00053016,-72
",,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00054934,0
",,7,",SNOW,2018-01-05T00:00:00,GHCND:USC00054934,0
",,7,0800",SNWD,2018-01-05T00:00:00,GHCND:USC00054934,0
",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00054934,78
",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00054934,-61
",,7,0800",TOBS,2018-01-05T00:00:00,GHCND:USC00054934,-50
",,U,",TAVG,2018-01-05T00:00:00,GHCND:USR0000CLOG,10
"H,,U,",TMAX,2018-01-05T00:00:00,GHCND:USR0000CLOG,44
"H,,U,",TMIN,2018-01-05T00:00:00,GHCND:USR0000CLOG,-11
",,T,",PRCP,2018-01-05T00:00:00,GHCND:USS0008M10S,0
",,T,",SNWD,2018-01-05T00:00:00,GHCND:USS0008M10S,279
",,T,",TAVG,2018-01-05T00:00:00,GHCND:USS0008M10S,14
",,T,",TMAX,2018-01-05T00:00:00,GHCND:USS0008M10S,45
",,T,",TMIN,2018-01-05T00:00:00,GHCND:USS0008M10S,-20
",,T,",TOBS,2018-01-05T00:00:00,GHCND:USS0008M10S,-17
",,T,",WESD,2018-01-05T00:00:00,GHCND:USS0008M10S,610
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00093005,15
",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00093005,0
",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00093005,61
",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00093005,-116
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00093005,10
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00093005,90
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00093005,45
",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00093005,49
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1COLP0008,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1COLP0008,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1COLP0020,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1COLP0020,0
",,N,",SNWD,2018-01-06T00:00:00,GHCND:US1COLP0020,0
",,N,",WESF,2018-01-06T00:00:00,GHCND:US1COLP0020,0
